NAICS codecaption,caption,trir,dart
3211,Sawmills and wood preservation,5.8,3.3
32111,Sawmills and wood preservation,5.8,3.3
321113,Sawmills,6.1,3.4
321114,Wood preservation,3.6,2.6
3212,"Veneer, plywood, and engineered wood product manufacturing",5.3,3
32121,"Veneer, plywood, and engineered wood product manufacturing",5.3,3
321211,Hardwood veneer and plywood manufacturing,5.8,3
321212,Softwood veneer and plywood manufacturing,2.8,1.8
321213,Engineered wood member (except truss) manufacturing,7.2,2.9
321214,Truss manufacturing,7.1,4.6
321219,Reconstituted wood product manufacturing,2.7,1.1
3219,Other wood product manufacturing,6.3,3.7
32191,Millwork,4.7,2.3
321911,Wood window and door manufacturing,4,2.5
321912,"Cut stock, resawing lumber, and planing",3.3,1.8
321918,Other millwork (including flooring),6.1,2.3
32192,Wood container and pallet manufacturing,6.9,4.2
32199,All other wood product manufacturing,8.3,5.5
321991,Manufactured home (mobile home) manufacturing,9.7,7.2
321992,Prefabricated wood building manufacturing,6.5,5
321999,All other miscellaneous wood product manufacturing,7.8,4
322,Paper manufacturing,2.7,1.6
3221,"Pulp, paper, and paperboard mills",1.9,1.1
32211,Pulp mills,1.3,0.6
32212,Paper mills,2,1.2
322121,Paper (except newsprint) mills,2,1.2
322122,Newsprint mills,1.3,0.7
32213,Paperboard mills,1.8,1.1
3222,Converted paper product manufacturing,3,1.8
32221,Paperboard container manufacturing,3.2,1.9
322211,Corrugated and solid fiber box manufacturing,3.2,1.9
322212,Folding paperboard box manufacturing,3.1,1.7
322219,Other paperboard container manufacturing,3,2
32222,Paper bag and coated and treated paper manufacturing,2.6,1.7
32223,Stationery product manufacturing,2.7,1.6
32229,Other converted paper product manufacturing,2.8,1.7
322291,Sanitary paper product manufacturing,2.6,1.4
322299,All other converted paper product manufacturing,3.1,2
323,Printing and related support activities,2.3,1.3
3231,Printing and related support activities,2.3,1.3
32311,Printing,2.2,1.3
323111,Commercial printing (except screen and books),2.3,1.3
323113,Commercial screen printing,1.5,1
323117,Books printing,3.6,2.1
32312,Support activities for printing,3.2,1.5
324,Petroleum and coal products manufacturing,1.3,0.8
3241,Petroleum and coal products manufacturing,1.3,0.8
32411,Petroleum refineries,0.4,0.2
32412,"Asphalt paving, roofing, and saturated materials manufacturing",3,1.7
324121,Asphalt paving mixture and block manufacturing,3.6,2.1
324122,Asphalt shingle and coating materials manufacturing,2.4,1.2
32419,Other petroleum and coal products manufacturing,2.6,1.8
324191,Petroleum lubricating oil and grease manufacturing,2,1.5
325,Chemical manufacturing,1.9,1.2
3251,Basic chemical manufacturing,1.3,0.9
32512,Industrial gas manufacturing,1,0.5
32513,Synthetic dye and pigment manufacturing,1.5,1
32518,Other basic inorganic chemical manufacturing,1.3,0.8
32519,Other basic organic chemical manufacturing,1.9,1.3
325199,All other basic organic chemical manufacturing,1.3,0.9
3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",1.8,1.3
32521,Resin and synthetic rubber manufacturing,1.9,1.3
325211,Plastics material and resin manufacturing,1.7,1.2
325212,Synthetic rubber manufacturing,2.9,1.7
32522,Artificial and synthetic fibers and filaments manufacturing,1.7,1.2
3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2.9,1.4
32531,Fertilizer manufacturing,3.3,1.5
325311,Nitrogenous fertilizer manufacturing,1.9,0.6
325312,Phosphatic fertilizer manufacturing,2.3,1.2
32532,Pesticide and other agricultural chemical manufacturing,2,1.4
3254,Pharmaceutical and medicine manufacturing,1.6,0.9
32541,Pharmaceutical and medicine manufacturing,1.6,0.9
325411,Medicinal and botanical manufacturing,2.6,1.5
325412,Pharmaceutical preparation manufacturing,1.5,0.8
325413,In-vitro diagnostic substance manufacturing,1.1,0.8
325414,Biological product (except diagnostic) manufacturing,1.3,0.9
3255,"Paint, coating, and adhesive manufacturing",2.8,2
32551,Paint and coating manufacturing,2.1,1.3
32552,Adhesive manufacturing,4.2,3.3
3256,"Soap, cleaning compound, and toilet preparation manufacturing",2.7,2
32561,Soap and cleaning compound manufacturing,2.5,1.7
325611,Soap and other detergent manufacturing,1.7,1
325612,Polish and other sanitation good manufacturing,3.1,2.3
32562,Toilet preparation manufacturing,2.9,2.2
3259,Other chemical product and preparation manufacturing,2.2,1.6
32591,Printing ink manufacturing,1.4,1.1
32592,Explosives manufacturing,2.4,1.8
32599,All other chemical product and preparation manufacturing,2.3,1.6
325991,Custom compounding of purchased resins,2.8,1.9
325992,"Photographic film, paper, plate, and chemical manufacturing",2.6,2
325998,All other miscellaneous chemical product and preparation manufacturing,1.9,1.4
326,Plastics and rubber products manufacturing,3.8,2.4
3261,Plastics product manufacturing,3.8,2.3
32611,Plastics packaging materials and unlaminated film and sheet manufacturing,3.4,2.1
326111,Plastics bag and pouch manufacturing,3.2,2.2
326112,Plastics packaging film and sheet (including laminated) manufacturing,2.9,1.9
326113,Unlaminated plastics film and sheet (except packaging) manufacturing,3.7,2.2
32612,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",3.9,2.5
326121,Unlaminated plastics profile shape manufacturing,3.5,2.6
326122,Plastics pipe and pipe fitting manufacturing,4.3,2.4
32613,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",4.3,2.7
32614,Polystyrene foam product manufacturing,3,1.8
32615,Urethane and other foam product (except polystyrene) manufacturing,4.2,2.6
32616,Plastics bottle manufacturing,2.6,1.3
32619,Other plastics product manufacturing,4,2.4
326191,Plastics plumbing fixture manufacturing,5.1,3.2
326199,All other plastics product manufacturing,3.9,2.3
3262,Rubber product manufacturing,3.9,2.7
32621,Tire manufacturing,4.1,2.9
326211,Tire manufacturing (except retreading),4.1,2.9
326212,Tire retreading,3.6,2.6
32622,Rubber and plastics hoses and belting manufacturing,3.9,2.7
32629,Other rubber product manufacturing,3.8,2.6
326291,Rubber product manufacturing for mechanical use,4.1,2.7
326299,All other rubber product manufacturing,3.5,2.4
327,Nonmetallic mineral product manufacturing,4.2,2.6
3271,Clay product and refractory manufacturing,4.5,3
32711,"Pottery, ceramics, and plumbing fixture manufacturing",3.7,2.6
32712,Clay building material and refractories manufacturing,5,3.2
3272,Glass and glass product manufacturing,4.5,2.4
32721,Glass and glass product manufacturing,4.5,2.4
327211,Flat glass manufacturing,3.6,2.2
327212,Other pressed and blown glass and glassware manufacturing,4.7,1.4
327213,Glass container manufacturing,4.9,3
327215,Glass product manufacturing made of purchased glass,4.5,2.6
3273,Cement and concrete product manufacturing,4.4,2.9
32731,Cement manufacturing,2.6,1.4
32732,Ready-mix concrete manufacturing,3.9,2.6
32733,"Concrete pipe, brick, and block manufacturing",6.3,4.2
327331,Concrete block and brick manufacturing,7.5,5.3
32739,Other concrete product manufacturing,4.7,3.2
3274,Lime and gypsum product manufacturing,2.7,1.4
32742,Gypsum product manufacturing,3,1.6
3279,Other nonmetallic mineral product manufacturing,3.7,1.9
32791,Abrasive product manufacturing,5.4,1.9
32799,All other nonmetallic mineral product manufacturing,3.4,1.9
327991,Cut stone and stone product manufacturing,4.8,2.7
327992,Ground or treated mineral and earth manufacturing,1.3,1
327993,Mineral wool manufacturing,2.4,1.2
327999,All other miscellaneous nonmetallic mineral product manufacturing,2.2,1.3
331,Primary metal manufacturing,4.6,2.8
3311,Iron and steel mills and ferroalloy manufacturing,2.7,1.7
3312,Steel product manufacturing from purchased steel,4.7,2.9
33121,Iron and steel pipe and tube manufacturing from purchased steel,4.7,2.6
33122,Rolling and drawing of purchased steel,4.6,3.1
331221,Rolled steel shape manufacturing,3.7,2.2
331222,Steel wire drawing,6.5,4.9
3313,Alumina and aluminum production and processing,3.4,2
33131,Alumina and aluminum production and processing,3.4,2
331313,Alumina refining and primary aluminum production,3.9,1.9
331314,Secondary smelting and alloying of aluminum,6.4,4.1
331315,"Aluminum sheet, plate, and foil manufacturing",2,1
331318,"Other aluminum rolling, drawing, and extruding",3.5,2.3
3314,Nonferrous metal (except aluminum) production and processing,4.5,2.7
33141,Nonferrous metal (except aluminum) smelting and refining,3.8,2.3
33142,"Copper rolling, drawing, extruding, and alloying",4.3,2.7
33149,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying",5,2.7
331491,"Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding",4.3,1.8
331492,"Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)",6,4
3315,Foundries,6.6,3.9
33151,Ferrous metal foundries,7,4.2
331511,Iron foundries,6.4,3.7
331512,Steel investment foundries,5.2,4.2
331513,Steel foundries (except investment),10.2,5.9
33152,Nonferrous metal foundries,6.1,3.5
331523,Nonferrous metal die-casting foundries,5.5,2.9
331524,Aluminum foundries (except die-casting),8.5,4.7
331529,Other nonferrous metal foundries (except die-casting),4.1,3
332,Fabricated metal product manufacturing,4.1,2.2
3321,Forging and stamping,5.5,2.9
33211,Forging and stamping,5.5,2.9
332111,Iron and steel forging,6.8,3.7
332112,Nonferrous forging,4.5,2.8
332114,Custom roll forming,4.3,3.4
332117,Powder metallurgy part manufacturing,4.5,2.7
332119,"Metal crown, closure, and other metal stamping (except automotive)",5.4,2.5
3322,Cutlery and handtool manufacturing,3.3,1.6
33221,Cutlery and handtool manufacturing,3.3,1.6
332215,"Metal kitchen cookware, utensil, cutlery, and flatware (except precious) manufacturing",3.2,1.3
