NAICS code,Industry,TRIR,DART
323113,Commercial screen printing,1.4,0.9
323117,Books printing,3.2,1.7
32312,Support activities for printing,3.3,1.4
324,Petroleum and coal products manufacturing,1.3,0.7
3241,Petroleum and coal products manufacturing,1.3,0.7
32411,Petroleum refineries,0.4,0.2
32412,"Asphalt paving, roofing, and saturated materials manufacturing",2.6,1.3
324121,Asphalt paving mixture and block manufacturing,3.2,1.3
324122,Asphalt shingle and coating materials manufacturing,1.8,1.2
325,Chemical manufacturing,1.9,1.2
3251,Basic chemical manufacturing,1.8,1.1
32512,Industrial gas manufacturing,1.5,1.1
32513,Synthetic dye and pigment manufacturing,3.3,2.5
32518,Other basic inorganic chemical manufacturing,1.6,0.9
32519,Other basic organic chemical manufacturing,2.4,1.4
325193,Ethyl alcohol manufacturing,2.2,0.9
325194,"Cyclic crude, intermediate, and gum and wood chemical manufacturing",6,3.4
325199,All other basic organic chemical manufacturing,2.1,1.3
3252,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",1.5,1
32521,Resin and synthetic rubber manufacturing,1.7,1.1
325211,Plastics material and resin manufacturing,1.9,1.3
325212,Synthetic rubber manufacturing,0.8,0.2
32522,Artificial and synthetic fibers and filaments manufacturing,1.1,0.7
3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2.1,1.3
32531,Fertilizer manufacturing,2.5,1.4
325311,Nitrogenous fertilizer manufacturing,0.8,0.3
325312,Phosphatic fertilizer manufacturing,0.9,0.4
325314,Fertilizer (mixing only) manufacturing,5,3.2
32532,Pesticide and other agricultural chemical manufacturing,1.6,1.1
3254,Pharmaceutical and medicine manufacturing,1.6,1
32541,Pharmaceutical and medicine manufacturing,1.6,1
325411,Medicinal and botanical manufacturing,1.5,0.8
325412,Pharmaceutical preparation manufacturing,1.7,1.1
325413,In-vitro diagnostic substance manufacturing,1.5,0.9
325414,Biological product (except diagnostic) manufacturing,1,0.6
3255,"Paint, coating, and adhesive manufacturing",2.5,1.5
32551,Paint and coating manufacturing,2.5,1.4
32552,Adhesive manufacturing,2.6,1.6
3256,"Soap, cleaning compound, and toilet preparation manufacturing",2.4,1.5
32561,Soap and cleaning compound manufacturing,2.4,1.4
325611,Soap and other detergent manufacturing,2.4,1.6
325612,Polish and other sanitation good manufacturing,2.6,1.5
32562,Toilet preparation manufacturing,2.4,1.6
3259,Other chemical product and preparation manufacturing,2.5,1.7
32591,Printing ink manufacturing,1.9,1.5
32599,All other chemical product and preparation manufacturing,2.7,1.8
325991,Custom compounding of purchased resins,3,1.9
325998,All other miscellaneous chemical product and preparation manufacturing,2.2,1.6
326,Plastics and rubber products manufacturing,3.7,2.4
3261,Plastics product manufacturing,3.6,2.3
32611,Plastics packaging materials and unlaminated film and sheet manufacturing,3.8,2.5
326111,Plastics bag and pouch manufacturing,3.5,2.5
326112,Plastics packaging film and sheet (including laminated) manufacturing,2.8,1.5
326113,Unlaminated plastics film and sheet (except packaging) manufacturing,4.7,3.2
32612,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",4,2.5
326121,Unlaminated plastics profile shape manufacturing,3.8,2.1
326122,Plastics pipe and pipe fitting manufacturing,4.2,2.8
32613,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",5,3
32614,Polystyrene foam product manufacturing,3.1,2
32615,Urethane and other foam product (except polystyrene) manufacturing,3,1.7
32616,Plastics bottle manufacturing,2.6,1.2
32619,Other plastics product manufacturing,3.7,2.3
326191,Plastics plumbing fixture manufacturing,3.9,2.3
326199,All other plastics product manufacturing,3.7,2.3
3262,Rubber product manufacturing,3.9,2.8
32621,Tire manufacturing,4.7,3.6
326211,Tire manufacturing (except retreading),4.5,3.6
32622,Rubber and plastics hoses and belting manufacturing,3.2,2.1
32629,Other rubber product manufacturing,3.4,2.2
326291,Rubber product manufacturing for mechanical use,3.7,2.4
326299,All other rubber product manufacturing,3.1,2
327,Nonmetallic mineral product manufacturing,4.3,2.9
3271,Clay product and refractory manufacturing,2.8,1.7
32711,"Pottery, ceramics, and plumbing fixture manufacturing",2.7,1.5
32712,Clay building material and refractories manufacturing,3,1.8
3272,Glass and glass product manufacturing,4.3,2.3
32721,Glass and glass product manufacturing,4.3,2.3
327211,Flat glass manufacturing,3.3,1.9
327212,Other pressed and blown glass and glassware manufacturing,3.5,2.8
327213,Glass container manufacturing,5.9,2.6
327215,Glass product manufacturing made of purchased glass,4.3,2.2
3273,Cement and concrete product manufacturing,5.2,3.8
32732,Ready-mix concrete manufacturing,4.8,3.9
32733,"Concrete pipe, brick, and block manufacturing",0,7.3
327331,Concrete block and brick manufacturing,5.6,3.8
32739,Other concrete product manufacturing,4.2,2.8
3274,Lime and gypsum product manufacturing,2.4,1.5
32742,Gypsum product manufacturing,2.9,1.9
3279,Other nonmetallic mineral product manufacturing,3,1.8
32791,Abrasive product manufacturing,4.4,2.4
32799,All other nonmetallic mineral product manufacturing,2.8,1.7
327991,Cut stone and stone product manufacturing,3.3,1.9
327993,Mineral wool manufacturing,3,2.3
327999,All other miscellaneous nonmetallic mineral product manufacturing,1.8,1.3
331,Primary metal manufacturing,4.4,2.7
3311,Iron and steel mills and ferroalloy manufacturing,2.4,1.5
3312,Steel product manufacturing from purchased steel,4.1,2.5
33121,Iron and steel pipe and tube manufacturing from purchased steel,3.4,2
33122,Rolling and drawing of purchased steel,4.8,3
331221,Rolled steel shape manufacturing,4.2,2.6
3313,Alumina and aluminum production and processing,3.5,2.1
33131,Alumina and aluminum production and processing,3.5,2.1
331313,Alumina refining and primary aluminum production,2.9,1.6
331314,Secondary smelting and alloying of aluminum,5.1,2.8
331315,"Aluminum sheet, plate, and foil manufacturing",1.7,0.8
331318,"Other aluminum rolling, drawing, and extruding",4.4,2.8
3314,Nonferrous metal (except aluminum) production and processing,4.4,3
33141,Nonferrous metal (except aluminum) smelting and refining,3.5,2.2
33142,"Copper rolling, drawing, extruding, and alloying",4.4,3.1
33149,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying",4.7,3.1
331491,"Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding",4.5,2.6
331492,"Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)",5,3.9
3315,Foundries,6.4,3.7
33151,Ferrous metal foundries,7,4.1
331511,Iron foundries,6.6,4
331512,Steel investment foundries,5.2,2.8
331513,Steel foundries (except investment),9.7,5.7
33152,Nonferrous metal foundries,5.7,3.3
331523,Nonferrous metal die-casting foundries,5.9,3.4
331524,Aluminum foundries (except die-casting),7.4,4.3
331529,Other nonferrous metal foundries (except die-casting),3.3,1.8
332,Fabricated metal product manufacturing,3.9,2.1
3321,Forging and stamping,4.9,2.7
33211,Forging and stamping,4.9,2.7
332111,Iron and steel forging,5.2,3.1
332112,Nonferrous forging,5.8,2.9
332114,Custom roll forming,4.3,2.6
332117,Powder metallurgy part manufacturing,4,2.3
332119,"Metal crown, closure, and other metal stamping (except automotive)",4.9,2.5
3322,Cutlery and handtool manufacturing,3.6,1.9
33221,Cutlery and handtool manufacturing,3.6,1.9
332215,"Metal kitchen cookware, utensil, cutlery, and flatware (except precious) manufacturing",4.2,2.2
332216,Saw blade and handtool manufacturing,3.4,1.7
3323,Architectural and structural metals manufacturing,4.5,2.5
33231,Plate work and fabricated structural product manufacturing,4.2,2.3
332311,Prefabricated metal building and component manufacturing,4.3,2.7
332312,Fabricated structural metal manufacturing,4.4,2.1
332313,Plate work manufacturing,3.6,2.3
33232,Ornamental and architectural metal products manufacturing,4.7,2.7
332321,Metal window and door manufacturing,4.8,3.1
332322,Sheet metal work manufacturing,4.5,2.4
332323,Ornamental and architectural metal work manufacturing,5.2,2.6
3324,"Boiler, tank, and shipping container manufacturing",4.3,2
33241,Power boiler and heat exchanger manufacturing,3.4,1.9
33242,Metal tank (heavy gauge) manufacturing,4.8,1.9
33243,"Metal can, box, and other metal container (light gauge) manufacturing",4.3,2.2
332431,Metal can manufacturing,3.4,1.9
332439,Other metal container manufacturing,5.5,2.6
3325,Hardware manufacturing,3.1,2
3326,Spring and wire product manufacturing,5.4,3.1
33261,Spring and wire product manufacturing,5.4,3.1
332613,Spring manufacturing,5.7,3.1
332618,Other fabricated wire product manufacturing,5.2,3.2
3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",3.2,1.5
33271,Machine shops,2.9,1.3
33272,"Turned product and screw, nut, and bolt manufacturing",4.2,2.4
332721,Precision turned product manufacturing,4.8,2.4
332722,"Bolt, nut, screw, rivet, and washer manufacturing",3.7,2.3
3328,"Coating, engraving, heat treating, and allied activities",4.2,2.9
33281,"Coating, engraving, heat treating, and allied activities",4.2,2.9
332811,Metal heat treating,5,2.9
332812,"Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers",4,2.7
332813,"Electroplating, plating, polishing, anodizing, and coloring",4.2,3.1
3329,Other fabricated metal product manufacturing,3.3,1.8
33291,Metal valve manufacturing,2.2,1.4
332911,Industrial valve manufacturing,2.4,1.6
332912,Fluid power valve and hose fitting manufacturing,1.4,0.8
332913,Plumbing fixture fitting and trim manufacturing,3.3,2.2
332919,Other metal valve and pipe fitting manufacturing,3,1.7
33299,All other fabricated metal product manufacturing,3.9,2
332991,Ball and roller bearing manufacturing,3.2,1.5
332992,Small arms ammunition manufacturing,1.9,1.1
332993,Ammunition (except small arms) manufacturing,1.1,0.6
332994,"Small arms, ordnance, and ordnance accessories manufacturing",2.1,1.1
332996,Fabricated pipe and pipe fitting manufacturing,3.6,2
332999,All other miscellaneous fabricated metal product manufacturing,5.5,2.6
333,Machinery manufacturing,3,1.6
3331,"Agriculture, construction, and mining machinery manufacturing",3.7,1.9
33311,Agricultural implement manufacturing,5.2,3
333111,Farm machinery and equipment manufacturing,5.6,3.1
333112,Lawn and garden tractor and home lawn and garden equipment manufacturing,3.8,2.5
33312,Construction machinery manufacturing,4.1,2.1
33313,Mining and oil and gas field machinery manufacturing,1.7,0.7
333131,Mining machinery and equipment manufacturing,2.1,1.1
333132,Oil and gas field machinery and equipment manufacturing,1.6,0.6
3332,Industrial machinery manufacturing,2.6,1.4
33324,Industrial machinery manufacturing,2.6,1.4
333241,Food product machinery manufacturing,3.3,1.8
333243,"Sawmill, woodworking, and paper machinery manufacturing",3.7,2
333244,Printing machinery and equipment manufacturing,1.8,0.8
333249,Other industrial machinery manufacturing,3.1,1.6
3333,Commercial and service industry machinery manufacturing,2.3,1.1
33331,Commercial and service industry machinery manufacturing,2.3,1.1
333314,Optical instrument and lens manufacturing,1.2,0.8
333316,Photographic and photocopying equipment manufacturing,1.4,0.8
333318,Other commercial and service industry machinery manufacturing,2.8,1.2
3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",3.2,1.8
33341,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",3.2,1.8
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,3.5,2.1
333414,Heating equipment (except warm air furnaces) manufacturing,4.3,2.5
333415,Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing,2.9,1.7
3335,Metalworking machinery manufacturing,3.2,1.5
33351,Metalworking machinery manufacturing,3.2,1.5
333511,Industrial mold manufacturing,2.7,1.1
333514,"Special die and tool, die set, jig, and fixture manufacturing",3.7,1.8
333515,Cutting tool and machine tool accessory manufacturing,2.8,1.4
333517,Machine tool manufacturing,3,1.7
333519,Rolling mill and other metalworking machinery manufacturing,3.2,1.4
3336,"Engine, turbine, and power transmission equipment manufacturing",2.3,1.3
33361,"Engine, turbine, and power transmission equipment manufacturing",2.3,1.3
333611,Turbine and turbine generator set units manufacturing,1.8,0.9
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",4.1,3.2
333613,Mechanical power transmission equipment manufacturing,3.6,1.5
333618,Other engine equipment manufacturing,1.8,1
3339,Other general purpose machinery manufacturing,3,1.6
33391,Pump and compressor manufacturing,2,0.9
333912,Air and gas compressor manufacturing,2.4,1
333914,"Measuring, dispensing, and other pumping equipment manufacturing",1.7,0.9
33392,Material handling equipment manufacturing,4.5,2.5
333921,Elevator and moving stairway manufacturing,6.6,4.9
333922,Conveyor and conveying equipment manufacturing,4.4,2.1
333923,"Overhead traveling crane, hoist, and monorail system manufacturing",4,1.6
333924,"Industrial truck, tractor, trailer, and stacker machinery manufacturing",3.9,2.4
33399,All other general purpose machinery manufacturing,2.4,1.3
333993,Packaging machinery manufacturing,2.6,1.5
333994,Industrial process furnace and oven manufacturing,2.1,1.2
333995,Fluid power cylinder and actuator manufacturing,3.3,1.9
333996,Fluid power pump and motor manufacturing,1.1,0.5
333999,All other miscellaneous general purpose machinery manufacturing,2.9,1.5
334,Computer and electronic product manufacturing,1.1,0.6
3341,Computer and peripheral equipment manufacturing,0.7,0.3
33411,Computer and peripheral equipment manufacturing,0.7,0.3
334111,Electronic computer manufacturing,0.6,0.3
334118,Computer terminal and other computer peripheral equipment manufacturing,0.6,0.3
3342,Communications equipment manufacturing,1.2,0.7
33422,Radio and television broadcasting and wireless communications equipment manufacturing,1.4,1.1
33429,Other communications equipment manufacturing,1.2,0.3
3343,Audio and video equipment manufacturing,0.8,0.5
3344,Semiconductor and other electronic component manufacturing,1.2,0.6
33441,Semiconductor and other electronic component manufacturing,1.2,0.6
334413,Semiconductor and related device manufacturing,0.9,0.4
334416,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",1.9,1.1
334417,Electronic connector manufacturing,1,0.6
334418,Printed circuit assembly (electronic assembly) manufacturing,1.4,0.6
334419,Other electronic component manufacturing,1.4,0.8
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",1.2,0.7
33451,"Navigational, measuring, electromedical, and control instruments manufacturing",1.2,0.7
334510,Electromedical and electrotherapeutic apparatus manufacturing,0.9,0.7
334511,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing",0.8,0.5
334512,"Automatic environmental control manufacturing for residential, commercial, and appliance use",2.3,1.7
334513,"Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables",1.6,0.6
334514,Totalizing fluid meter and counting device manufacturing,1.9,1.3
334515,Instrument manufacturing for measuring and testing electricity and electrical signals,1,0.7
334516,Analytical laboratory instrument manufacturing,0.9,0.6
334519,Other measuring and controlling device manufacturing,1.6,0.6
3346,Manufacturing and reproducing magnetic and optical media,1.1,0.7
33461,Manufacturing and reproducing magnetic and optical media,1.1,0.7
334613,Blank magnetic and optical recording media manufacturing,1.3,0.9
335,"Electrical equipment, appliance, and component manufacturing",2.4,1.4
3351,Electric lighting equipment manufacturing,1.9,1.2
33511,Electric lamp bulb and part manufacturing,1.2,0.5
33512,Lighting fixture manufacturing,2,1.3
335122,"Commercial, industrial, and institutional electric lighting fixture manufacturing",1.7,1.3
335129,Other lighting equipment manufacturing,2.3,0.9
3352,Household appliance manufacturing,2.2,1.2
33521,Small electrical appliance manufacturing,2.2,1.3
33522,Major household appliance manufacturing,2.2,1.2
3353,Electrical equipment manufacturing,2.3,1.3
33531,Electrical equipment manufacturing,2.3,1.3
335311,"Power, distribution, and specialty transformer manufacturing",3.8,2.6
335312,Motor and generator manufacturing,2.3,1.2
335313,Switchgear and switchboard apparatus manufacturing,1.8,0.9
