NAICS code,caption,trir,dart
32561,Soap and cleaning compound manufacturing,2.1,1.1
325611,Soap and other detergent manufacturing,1.7,1.1
325612,Polish and other sanitation good manufacturing,2.7,1.3
325613,Surface active agent manufacturing,1.2,0.6
32562,Toilet preparation manufacturing,2.5,1.5
3259,Other chemical product and preparation manufacturing,2.8,1.6
32592,Explosives manufacturing,2.1,1.2
32599,All other chemical product and preparation manufacturing,2.9,1.7
325992,"Photographic film, paper, plate, and chemical manufacturing",1.9,1.3
325998,All other miscellaneous chemical product and preparation manufacturing,2.6,1.7
326,Plastics and rubber products manufacturing,3.9,2.4
3261,Plastics product manufacturing,4.0,2.4
32611,Plastics packaging materials and unlaminated film and sheet manufacturing,4.2,2.5
326111,Plastics bag and pouch manufacturing,3.3,2.1
326112,Plastics packaging film and sheet (including laminated) manufacturing,3.8,1.9
326113,Unlaminated plastics film and sheet (except packaging) manufacturing,5.2,3.2
32612,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",4.2,2.7
326121,Unlaminated plastics profile shape manufacturing,4.4,2.7
326122,Plastics pipe and pipe fitting manufacturing,4.1,2.7
32613,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",4.3,2.6
32614,Polystyrene foam product manufacturing,3.7,2.0
32615,Urethane and other foam product (except polystyrene) manufacturing,4.7,2.8
32616,Plastics bottle manufacturing,3.2,1.9
32619,Other plastics product manufacturing,3.9,2.3
326191,Plastics plumbing fixture manufacturing,5.6,3.3
326199,All other plastics product manufacturing,3.8,2.3
3262,Rubber product manufacturing,3.5,2.3
32621,Tire manufacturing,3.8,2.6
326211,Tire manufacturing (except retreading),3.8,2.6
326212,Tire retreading,4.3,2.6
32622,Rubber and plastics hoses and belting manufacturing,3.2,1.9
32629,Other rubber product manufacturing,3.4,2.2
326291,Rubber product manufacturing for mechanical use,3.1,2.0
326299,All other rubber product manufacturing,3.8,2.4
327,Nonmetallic mineral product manufacturing,4.6,2.9
3271,Clay product and refractory manufacturing,4.9,3.3
32711,"Pottery, ceramics, and plumbing fixture manufacturing",4.1,2.5
32712,Clay building material and refractories manufacturing,5.4,3.8
3272,Glass and glass product manufacturing,3.8,2.3
32721,Glass and glass product manufacturing,3.8,2.3
327211,Flat glass manufacturing,3.8,2.1
327212,Other pressed and blown glass and glassware manufacturing,3.8,2.7
327213,Glass container manufacturing,3.6,1.9
327215,Glass product manufacturing made of purchased glass,3.9,2.3
3273,Cement and concrete product manufacturing,5.0,3.2
32732,Ready-mix concrete manufacturing,3.9,2.7
32733,"Concrete pipe, brick, and block manufacturing",0,0
327331,Concrete block and brick manufacturing,4.8,2.6
3274,Lime and gypsum product manufacturing,4.5,2.4
32741,Lime manufacturing,3.5,3.3
32742,Gypsum product manufacturing,4.8,2.1
3279,Other nonmetallic mineral product manufacturing,4.3,2.7
32791,Abrasive product manufacturing,3.7,2.1
32799,All other nonmetallic mineral product manufacturing,4.4,2.8
327991,Cut stone and stone product manufacturing,6.0,3.8
327992,Ground or treated mineral and earth manufacturing,1.6,1.0
327993,Mineral wool manufacturing,3.4,2.5
327999,All other miscellaneous nonmetallic mineral product manufacturing,3.2,1.7
331,Primary metal manufacturing,4.4,2.5
3311,Iron and steel mills and ferroalloy manufacturing,2.5,1.4
3312,Steel product manufacturing from purchased steel,4.6,2.6
33121,Iron and steel pipe and tube manufacturing from purchased steel,5.2,2.8
33122,Rolling and drawing of purchased steel,4.2,2.4
331221,Rolled steel shape manufacturing,3.6,1.8
331222,Steel wire drawing,5.2,3.3
3313,Alumina and aluminum production and processing,2.9,1.8
33131,Alumina and aluminum production and processing,2.9,1.8
331315,"Aluminum sheet, plate, and foil manufacturing",1.5,0.8
331318,"Other aluminum rolling, drawing, and extruding",3.6,2.3
3314,Nonferrous metal (except aluminum) production and processing,4.2,2.5
33141,Nonferrous metal (except aluminum) smelting and refining,3.7,0.6
33142,"Copper rolling, drawing, extruding, and alloying",4.5,2.9
33149,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying",4.1,2.7
331491,"Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding",3.1,1.7
331492,"Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)",5.6,3.9
3315,Foundries,6.4,3.7
33151,Ferrous metal foundries,7.4,4.3
331511,Iron foundries,8.5,4.7
331512,Steel investment foundries,4.2,2.8
331513,Steel foundries (except investment),7.4,4.5
33152,Nonferrous metal foundries,5.3,3.2
331523,Nonferrous metal die-casting foundries,5.4,3.2
331524,Aluminum foundries (except die-casting),6.6,4.0
331529,Other nonferrous metal foundries (except die-casting),3.5,2.1
332,Fabricated metal product manufacturing,4.1,2.2
3321,Forging and stamping,5.2,3.0
33211,Forging and stamping,5.2,3.0
332111,Iron and steel forging,6.1,3.7
332112,Nonferrous forging,7.0,4.0
332114,Custom roll forming,2.7,2.0
332117,Powder metallurgy part manufacturing,3.0,2.4
332119,"Metal crown, closure, and other metal stamping (except automotive)",5.4,2.8
3322,Cutlery and handtool manufacturing,3.3,1.6
33221,Cutlery and handtool manufacturing,3.3,1.6
332216,Saw blade and handtool manufacturing,3.0,1.5
3323,Architectural and structural metals manufacturing,4.8,2.6
33231,Plate work and fabricated structural product manufacturing,4.7,2.4
332311,Prefabricated metal building and component manufacturing,4.0,1.9
332312,Fabricated structural metal manufacturing,4.5,2.4
332313,Plate work manufacturing,5.7,2.8
33232,Ornamental and architectural metal products manufacturing,4.9,2.8
332321,Metal window and door manufacturing,5.6,3.5
332322,Sheet metal work manufacturing,4.8,2.7
332323,Ornamental and architectural metal work manufacturing,3.9,1.9
3324,"Boiler, tank, and shipping container manufacturing",4.1,2.2
33241,Power boiler and heat exchanger manufacturing,3.9,2.0
33242,Metal tank (heavy gauge) manufacturing,4.1,2.3
33243,"Metal can, box, and other metal container (light gauge) manufacturing",4.2,2.3
332431,Metal can manufacturing,3.4,2.1
332439,Other metal container manufacturing,5.2,2.5
3325,Hardware manufacturing,3.5,2.2
3326,Spring and wire product manufacturing,4.1,2.1
33261,Spring and wire product manufacturing,4.1,2.1
332613,Spring manufacturing,3.7,2.1
332618,Other fabricated wire product manufacturing,4.4,2.1
3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",3.5,1.6
33271,Machine shops,3.4,1.6
